model,iteration,position,hypothesis_name,prev_best_name,rationale,oracle_prediction,prev_best_score,avg_param_distance,prior_result_words,has_numeric_score,has_feedback_reference,score_improvement_vs_prior_best,exploitation_score,n_params_changed,n_constructive_changes,n_destructive_changes,param_change_details,Mg_glutamate_mM_distance,K_glutamate_mM_distance,DTT_mM_distance,NTP_multiplier_distance,PEG_8000_percent_distance,temperature_C_distance,plasmid_concentration_nM_distance,curr_Mg_glutamate_mM,curr_K_glutamate_mM,curr_DTT_mM,curr_NTP_multiplier,curr_PEG_8000_percent,curr_temperature_C,curr_plasmid_concentration_nM,curr_energy_source,curr_extract_type,curr_chaperones,curr_reaction_mode,prev_Mg_glutamate_mM,prev_K_glutamate_mM,prev_DTT_mM,prev_NTP_multiplier,prev_PEG_8000_percent,prev_temperature_C,prev_plasmid_concentration_nM,prev_energy_source,prev_extract_type,prev_chaperones,prev_reaction_mode
gemini-2.5-flash,1,0,Initial Batch Optimization,,"This hypothesis establishes a baseline batch reaction with commonly used, near-optimal conditions to assess initial productivity.",0.09712604854787374,,3.0,[],False,False,,,0,0,0,{},1.0,10.0,1.0,2.0,4.5,0.0,2.5,5.0,70.0,1.0,1.0,0.5,30.0,7.5,3-PGA,wild-type,none,batch,,,,,,,,,,,
gemini-2.5-flash,2,0,Enhanced Energy and Chaperone Batch,Initial Batch Optimization,"Increasing NTPs, adding maltose for sustained energy, and including GroES/EL chaperones could improve protein folding and overcome previous productivity limitations.",0.13841745020605833,0.09712604854787374,2.9285714285714284,['previous'],False,True,0.041291401658184596,0.25,4,1,3,"{'Mg_glutamate_mM': {'prev': 5.0, 'curr': 5.0, 'delta': 0.0, 'constructive': None}, 'K_glutamate_mM': {'prev': 70.0, 'curr': 70.0, 'delta': 0.0, 'constructive': None}, 'DTT_mM': {'prev': 1.0, 'curr': 1.5, 'delta': 0.5, 'constructive': True}, 'NTP_multiplier': {'prev': 1.0, 'curr': 1.5, 'delta': 0.5, 'constructive': False}, 'PEG_8000_percent': {'prev': 0.5, 'curr': 1.0, 'delta': 0.5, 'constructive': False}, 'temperature_C': {'prev': 30.0, 'curr': 30.0, 'delta': 0.0, 'constructive': None}, 'plasmid_concentration_nM': {'prev': 7.5, 'curr': 7.5, 'delta': 0.0, 'constructive': None}, 'energy_source': {'prev': '3-PGA', 'curr': '3-PGA + maltose', 'prev_is_opt': True, 'curr_is_opt': False, 'string_changed': True, 'constructive': False}, 'extract_type': {'prev': 'wild-type', 'curr': 'wild-type', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'none', 'curr': 'GroES/EL', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': True, 'constructive': None}, 'reaction_mode': {'prev': 'batch', 'curr': 'batch', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}}",1.0,10.0,1.5,1.5,4.0,0.0,2.5,5.0,70.0,1.5,1.5,1.0,30.0,7.5,3-PGA + maltose,wild-type,GroES/EL,batch,5.0,70.0,1.0,1.0,0.5,30.0,7.5,3-PGA,wild-type,none,batch
gemini-2.5-flash,3,0,Optimal KC6 Chaperone Semi-continuous,Enhanced Energy and Chaperone Batch,"Switching to KC6 extract, a different chaperone system, and a semi-continuous mode with maltodextrin for prolonged energy supply could significantly boost productivity by enabling longer reaction times and better protein folding.",0.36936280034760804,0.13841745020605833,3.4285714285714284,[],False,False,0.2309453501415497,0.5,6,3,3,"{'Mg_glutamate_mM': {'prev': 5.0, 'curr': 5.0, 'delta': 0.0, 'constructive': None}, 'K_glutamate_mM': {'prev': 70.0, 'curr': 70.0, 'delta': 0.0, 'constructive': None}, 'DTT_mM': {'prev': 1.5, 'curr': 1.5, 'delta': 0.0, 'constructive': None}, 'NTP_multiplier': {'prev': 1.5, 'curr': 2.0, 'delta': 0.5, 'constructive': False}, 'PEG_8000_percent': {'prev': 1.0, 'curr': 1.5, 'delta': 0.5, 'constructive': False}, 'temperature_C': {'prev': 30.0, 'curr': 25.0, 'delta': -5.0, 'constructive': True}, 'plasmid_concentration_nM': {'prev': 7.5, 'curr': 8.0, 'delta': 0.5, 'constructive': False}, 'energy_source': {'prev': '3-PGA + maltose', 'curr': '3-PGA + maltodextrin', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': True, 'constructive': None}, 'extract_type': {'prev': 'wild-type', 'curr': 'KC6', 'prev_is_opt': False, 'curr_is_opt': True, 'string_changed': True, 'constructive': True}, 'chaperones': {'prev': 'GroES/EL', 'curr': 'DnaK/DnaJ/GrpE', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': True, 'constructive': None}, 'reaction_mode': {'prev': 'batch', 'curr': 'semi-continuous', 'prev_is_opt': False, 'curr_is_opt': True, 'string_changed': True, 'constructive': True}}",1.0,10.0,1.5,1.0,3.5,5.0,2.0,5.0,70.0,1.5,2.0,1.5,25.0,8.0,3-PGA + maltodextrin,KC6,DnaK/DnaJ/GrpE,semi-continuous,5.0,70.0,1.5,1.5,1.0,30.0,7.5,3-PGA + maltose,wild-type,GroES/EL,batch
gemini-2.5-flash,4,0,Maximized KC6 Semi-Continuous Productivity,Optimal KC6 Chaperone Semi-continuous,"Building on the successful KC6 and semi-continuous mode, this hypothesis further optimizes the conditions by increasing NTPs, DTT, PEG, and plasmid concentration, and using combined chaperones for potentially enhanced protein folding and yield.",0.3935137008904328,0.36936280034760804,2.4285714285714284,[],False,False,0.02415090054282476,0.42857142857142855,7,3,4,"{'Mg_glutamate_mM': {'prev': 5.0, 'curr': 5.5, 'delta': 0.5, 'constructive': True}, 'K_glutamate_mM': {'prev': 70.0, 'curr': 75.0, 'delta': 5.0, 'constructive': False}, 'DTT_mM': {'prev': 1.5, 'curr': 2.0, 'delta': 0.5, 'constructive': True}, 'NTP_multiplier': {'prev': 2.0, 'curr': 2.5, 'delta': 0.5, 'constructive': False}, 'PEG_8000_percent': {'prev': 1.5, 'curr': 2.0, 'delta': 0.5, 'constructive': False}, 'temperature_C': {'prev': 25.0, 'curr': 25.0, 'delta': 0.0, 'constructive': None}, 'plasmid_concentration_nM': {'prev': 8.0, 'curr': 9.0, 'delta': 1.0, 'constructive': False}, 'energy_source': {'prev': '3-PGA + maltodextrin', 'curr': '3-PGA + maltodextrin', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'DnaK/DnaJ/GrpE', 'curr': 'combined', 'prev_is_opt': False, 'curr_is_opt': True, 'string_changed': True, 'constructive': True}, 'reaction_mode': {'prev': 'semi-continuous', 'curr': 'semi-continuous', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}}",0.5,5.0,2.0,0.5,3.0,5.0,1.0,5.5,75.0,2.0,2.5,2.0,25.0,9.0,3-PGA + maltodextrin,KC6,combined,semi-continuous,5.0,70.0,1.5,2.0,1.5,25.0,8.0,3-PGA + maltodextrin,KC6,DnaK/DnaJ/GrpE,semi-continuous
gemini-2.5-flash,5,0,Microfluidic Refined KC6 Combined Chaperone,Maximized KC6 Semi-Continuous Productivity,"Leveraging the high productivity of KC6 extract and combined chaperones, a microfluidic reaction mode offers precise control and continuous reactant replenishment, potentially further boosting productivity by preventing substrate depletion and waste product accumulation.",0.2683875320837501,0.3935137008904328,2.357142857142857,[],False,False,-0.1251261688066827,0.25,4,1,3,"{'Mg_glutamate_mM': {'prev': 5.5, 'curr': 5.5, 'delta': 0.0, 'constructive': None}, 'K_glutamate_mM': {'prev': 75.0, 'curr': 75.0, 'delta': 0.0, 'constructive': None}, 'DTT_mM': {'prev': 2.0, 'curr': 2.5, 'delta': 0.5, 'constructive': True}, 'NTP_multiplier': {'prev': 2.5, 'curr': 2.5, 'delta': 0.0, 'constructive': None}, 'PEG_8000_percent': {'prev': 2.0, 'curr': 2.5, 'delta': 0.5, 'constructive': False}, 'temperature_C': {'prev': 25.0, 'curr': 25.0, 'delta': 0.0, 'constructive': None}, 'plasmid_concentration_nM': {'prev': 9.0, 'curr': 9.5, 'delta': 0.5, 'constructive': False}, 'energy_source': {'prev': '3-PGA + maltodextrin', 'curr': '3-PGA + maltodextrin', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'combined', 'curr': 'combined', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'reaction_mode': {'prev': 'semi-continuous', 'curr': 'microfluidic', 'prev_is_opt': True, 'curr_is_opt': False, 'string_changed': True, 'constructive': False}}",0.5,5.0,2.5,0.5,2.5,5.0,0.5,5.5,75.0,2.5,2.5,2.5,25.0,9.5,3-PGA + maltodextrin,KC6,combined,microfluidic,5.5,75.0,2.0,2.5,2.0,25.0,9.0,3-PGA + maltodextrin,KC6,combined,semi-continuous
gemini-2.5-flash,6,0,Optimal Temperature Batch KC6 with Combined Chaperones,Microfluidic Refined KC6 Combined Chaperone,"Given the drop in productivity with microfluidics, returning to a batch mode and testing a slightly higher temperature (30C) within the successful KC6 extract and combined chaperone setup, might optimize reaction kinetics for higher yield.",0.19562720325302294,0.2683875320837501,1.7142857142857142,[],False,False,-0.07276032883072717,0.5,4,2,2,"{'Mg_glutamate_mM': {'prev': 5.5, 'curr': 5.5, 'delta': 0.0, 'constructive': None}, 'K_glutamate_mM': {'prev': 75.0, 'curr': 75.0, 'delta': 0.0, 'constructive': None}, 'DTT_mM': {'prev': 2.5, 'curr': 2.0, 'delta': -0.5, 'constructive': False}, 'NTP_multiplier': {'prev': 2.5, 'curr': 2.5, 'delta': 0.0, 'constructive': None}, 'PEG_8000_percent': {'prev': 2.5, 'curr': 2.0, 'delta': -0.5, 'constructive': True}, 'temperature_C': {'prev': 25.0, 'curr': 30.0, 'delta': 5.0, 'constructive': False}, 'plasmid_concentration_nM': {'prev': 9.5, 'curr': 9.0, 'delta': -0.5, 'constructive': True}, 'energy_source': {'prev': '3-PGA + maltodextrin', 'curr': '3-PGA + maltodextrin', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'combined', 'curr': 'combined', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'reaction_mode': {'prev': 'microfluidic', 'curr': 'batch', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': True, 'constructive': None}}",0.5,5.0,2.0,0.5,3.0,0.0,1.0,5.5,75.0,2.0,2.5,2.0,30.0,9.0,3-PGA + maltodextrin,KC6,combined,batch,5.5,75.0,2.5,2.5,2.5,25.0,9.5,3-PGA + maltodextrin,KC6,combined,microfluidic
gemini-2.5-flash,7,0,Revisiting K Glutamate and Energy Source for KC6,Optimal Temperature Batch KC6 with Combined Chaperones,"Given recent lower productivities, we will revisit a slightly lower K_glutamate and DnaK/DnaJ/GrpE chaperone system, in semi-continuous mode with maltose, aiming to find a better balance for the KC6 extract.",0.37151562556148476,0.19562720325302294,4.142857142857143,[],False,False,0.17588842230846183,0.6666666666666666,9,6,3,"{'Mg_glutamate_mM': {'prev': 5.5, 'curr': 5.0, 'delta': -0.5, 'constructive': False}, 'K_glutamate_mM': {'prev': 75.0, 'curr': 65.0, 'delta': -10.0, 'constructive': True}, 'DTT_mM': {'prev': 2.0, 'curr': 1.5, 'delta': -0.5, 'constructive': False}, 'NTP_multiplier': {'prev': 2.5, 'curr': 2.0, 'delta': -0.5, 'constructive': True}, 'PEG_8000_percent': {'prev': 2.0, 'curr': 1.5, 'delta': -0.5, 'constructive': True}, 'temperature_C': {'prev': 30.0, 'curr': 25.0, 'delta': -5.0, 'constructive': True}, 'plasmid_concentration_nM': {'prev': 9.0, 'curr': 8.0, 'delta': -1.0, 'constructive': True}, 'energy_source': {'prev': '3-PGA + maltodextrin', 'curr': '3-PGA + maltose', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': True, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'combined', 'curr': 'DnaK/DnaJ/GrpE', 'prev_is_opt': True, 'curr_is_opt': False, 'string_changed': True, 'constructive': False}, 'reaction_mode': {'prev': 'batch', 'curr': 'semi-continuous', 'prev_is_opt': False, 'curr_is_opt': True, 'string_changed': True, 'constructive': True}}",1.0,15.0,1.5,1.0,3.5,5.0,2.0,5.0,65.0,1.5,2.0,1.5,25.0,8.0,3-PGA + maltose,KC6,DnaK/DnaJ/GrpE,semi-continuous,5.5,75.0,2.0,2.5,2.0,30.0,9.0,3-PGA + maltodextrin,KC6,combined,batch
gemini-2.5-flash,8,0,Fine-Tuning KC6 Semi-Continuous with PEG,Revisiting K Glutamate and Energy Source for KC6,"Building on the good performance of the previous hypothesis, this iteration slightly increases PEG 8000 and plasmid concentration, which can enhance protein crowding and template availability in the semi-continuous KC6 system.",0.3647075779135522,0.37151562556148476,3.9285714285714284,['previous'],False,True,-0.00680804764793258,0.0,2,0,2,"{'Mg_glutamate_mM': {'prev': 5.0, 'curr': 5.0, 'delta': 0.0, 'constructive': None}, 'K_glutamate_mM': {'prev': 65.0, 'curr': 65.0, 'delta': 0.0, 'constructive': None}, 'DTT_mM': {'prev': 1.5, 'curr': 1.5, 'delta': 0.0, 'constructive': None}, 'NTP_multiplier': {'prev': 2.0, 'curr': 2.0, 'delta': 0.0, 'constructive': None}, 'PEG_8000_percent': {'prev': 1.5, 'curr': 2.5, 'delta': 1.0, 'constructive': False}, 'temperature_C': {'prev': 25.0, 'curr': 25.0, 'delta': 0.0, 'constructive': None}, 'plasmid_concentration_nM': {'prev': 8.0, 'curr': 8.5, 'delta': 0.5, 'constructive': False}, 'energy_source': {'prev': '3-PGA + maltose', 'curr': '3-PGA + maltose', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'DnaK/DnaJ/GrpE', 'curr': 'DnaK/DnaJ/GrpE', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'reaction_mode': {'prev': 'semi-continuous', 'curr': 'semi-continuous', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}}",1.0,15.0,1.5,1.0,2.5,5.0,1.5,5.0,65.0,1.5,2.0,2.5,25.0,8.5,3-PGA + maltose,KC6,DnaK/DnaJ/GrpE,semi-continuous,5.0,65.0,1.5,2.0,1.5,25.0,8.0,3-PGA + maltose,KC6,DnaK/DnaJ/GrpE,semi-continuous
gemini-2.5-flash,9,0,Optimizing DTT and Temperature with KC6 Maltodextrin,Fine-Tuning KC6 Semi-Continuous with PEG,"Given similar productivity, let's explore high DTT and a slightly elevated temperature with the established KC6, combined chaperones, and maltodextrin system to assess if better disulfide bond formation or reaction kinetics contribute to higher yield.",0.3791093570359316,0.3647075779135522,2.857142857142857,[],False,False,0.014401779122379443,0.5714285714285714,7,4,3,"{'Mg_glutamate_mM': {'prev': 5.0, 'curr': 5.0, 'delta': 0.0, 'constructive': None}, 'K_glutamate_mM': {'prev': 65.0, 'curr': 70.0, 'delta': 5.0, 'constructive': False}, 'DTT_mM': {'prev': 1.5, 'curr': 3.0, 'delta': 1.5, 'constructive': True}, 'NTP_multiplier': {'prev': 2.0, 'curr': 2.5, 'delta': 0.5, 'constructive': False}, 'PEG_8000_percent': {'prev': 2.5, 'curr': 1.5, 'delta': -1.0, 'constructive': True}, 'temperature_C': {'prev': 25.0, 'curr': 30.0, 'delta': 5.0, 'constructive': False}, 'plasmid_concentration_nM': {'prev': 8.5, 'curr': 8.0, 'delta': -0.5, 'constructive': True}, 'energy_source': {'prev': '3-PGA + maltose', 'curr': '3-PGA + maltodextrin', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': True, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'DnaK/DnaJ/GrpE', 'curr': 'combined', 'prev_is_opt': False, 'curr_is_opt': True, 'string_changed': True, 'constructive': True}, 'reaction_mode': {'prev': 'semi-continuous', 'curr': 'semi-continuous', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}}",1.0,10.0,3.0,0.5,3.5,0.0,2.0,5.0,70.0,3.0,2.5,1.5,30.0,8.0,3-PGA + maltodextrin,KC6,combined,semi-continuous,5.0,65.0,1.5,2.0,2.5,25.0,8.5,3-PGA + maltose,KC6,DnaK/DnaJ/GrpE,semi-continuous
gemini-2.5-flash,10,0,Exploring Higher K Glutamate and Lower NTP Microfluidic,Optimizing DTT and Temperature with KC6 Maltodextrin,"Given prior microfluidic struggles, this explores the limits of K glutamate and lower NTPs, combined with the stable KC6 extract, hoping to prevent potential substrate inhibition or imbalance under continuous flow conditions.",0.26246070456267234,0.3791093570359316,1.7857142857142858,['prior'],False,True,-0.11664865247325928,0.25,8,2,6,"{'Mg_glutamate_mM': {'prev': 5.0, 'curr': 4.5, 'delta': -0.5, 'constructive': False}, 'K_glutamate_mM': {'prev': 70.0, 'curr': 80.0, 'delta': 10.0, 'constructive': False}, 'DTT_mM': {'prev': 3.0, 'curr': 1.5, 'delta': -1.5, 'constructive': False}, 'NTP_multiplier': {'prev': 2.5, 'curr': 1.5, 'delta': -1.0, 'constructive': True}, 'PEG_8000_percent': {'prev': 1.5, 'curr': 2.5, 'delta': 1.0, 'constructive': False}, 'temperature_C': {'prev': 30.0, 'curr': 25.0, 'delta': -5.0, 'constructive': True}, 'plasmid_concentration_nM': {'prev': 8.0, 'curr': 9.5, 'delta': 1.5, 'constructive': False}, 'energy_source': {'prev': '3-PGA + maltodextrin', 'curr': '3-PGA + maltodextrin', 'prev_is_opt': False, 'curr_is_opt': False, 'string_changed': False, 'constructive': None}, 'extract_type': {'prev': 'KC6', 'curr': 'KC6', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'chaperones': {'prev': 'combined', 'curr': 'combined', 'prev_is_opt': True, 'curr_is_opt': True, 'string_changed': False, 'constructive': None}, 'reaction_mode': {'prev': 'semi-continuous', 'curr': 'microfluidic', 'prev_is_opt': True, 'curr_is_opt': False, 'string_changed': True, 'constructive': False}}",1.5,0.0,1.5,1.5,2.5,5.0,0.5,4.5,80.0,1.5,1.5,2.5,25.0,9.5,3-PGA + maltodextrin,KC6,combined,microfluidic,5.0,70.0,3.0,2.5,1.5,30.0,8.0,3-PGA + maltodextrin,KC6,combined,semi-continuous
